name,ticker,year,controversy,environment,social,governance,annual_return,sd
BROADRIDGE FINL.SLTN.,BR,2022,100.0,41.516519,56.083658,58.464815,0.16178,0.231784
BROWN & BROWN,BRO,2022,93.02594,7.186384,34.616964,47.97816,0.126775,0.196683
BOSTON SCIENTIFIC,BSX,2022,64.17301,55.238359,82.414447,68.913511,0.073838,0.269152
BORGWARNER,BWA,2022,99.313049,59.682564,47.782142,43.27603,0.064645,0.332882
BLACKSTONE,BX,2022,66.497294,28.980892,58.312804,2.61521,0.405241,0.286707
BOSTON PROPERTIES,BXP,2022,99.401514,70.542001,61.211795,55.657659,0.104071,0.240558
CITIGROUP,C,2022,11.775257,92.899543,81.137316,83.483153,-0.078198,0.347586
CONAGRA BRANDS,CAG,2022,72.922337,64.564992,70.316663,80.246565,0.051069,0.206675
CARDINAL HEALTH,CAH,2022,61.083848,52.093993,54.226445,69.615431,0.038186,0.243376
CARRIER GLOBAL,CARR,2022,100.0,48.852177,78.665932,54.382127,0.122795,0.296147
CATERPILLAR,CAT,2022,77.084672,68.601685,76.351293,75.610082,0.128161,0.300359
CHUBB,CB,2022,73.845281,49.913553,41.414614,58.69362,0.104862,0.206071
CBOE GLOBAL MARKETS(BTS),CBOE,2022,88.234109,20.696869,52.000517,60.209138,0.176934,0.195141
CBRE GROUP CLASS A,CBRE,2022,92.944594,78.451811,85.339869,90.874995,0.138468,0.379673
CROWN CASTLE,CCI,2022,93.564038,43.693649,51.086446,64.857358,0.145497,0.232676
CARNIVAL,CCL,2022,60.118323,72.975556,72.354189,67.693734,0.002003,0.349333
CERIDIAN HCM HOLDING,CDAY,2022,100.0,19.797495,60.94604,34.020653,0.099787,0.415961
CADENCE DESIGN SYS.,CDNS,2022,98.858473,39.37523,60.525987,59.557673,0.189961,0.272378
CDW,CDW,2022,100.0,21.825964,52.959078,61.358369,0.24405,0.25083
CELANESE,CE,2022,95.847284,47.010055,45.752761,67.611643,0.176399,0.324842
CONSTELLATION ENERGY,CEG,2022,100.0,35.370865,56.337607,37.84405,0.111366,0.362518
CF INDUSTRIES HDG.,CF,2022,97.796362,40.093872,58.479955,82.21219,0.197092,0.386791
CITIZENS FINANCIAL GROUP,CFG,2022,95.057131,38.072939,55.08952,73.941698,0.085159,0.34032
CHURCH & DWIGHT CO.,CHD,2022,98.008077,53.043129,59.78928,67.022078,0.17278,0.170119
CH ROBINSON WWD.,CHRW,2022,100.0,20.271507,51.200657,34.458748,0.100582,0.240016
CHARTER COMMS.CL.A,CHTR,2022,77.958317,21.062047,30.617616,21.327164,0.193609,0.258557
CIGNA,CI,2022,66.950421,78.010561,76.234579,56.490025,0.138447,0.273395
CINCINNATI FINL.,CINF,2022,99.622357,28.789909,44.145699,63.393997,0.096786,0.211602
COLGATE-PALM.,CL,2022,88.717012,82.491275,88.12634,86.397695,0.070834,0.15551
CLOROX,CLX,2022,87.680706,56.615166,67.148069,75.349269,0.089109,0.171603
COMERICA,CMA,2022,82.38066,50.074799,62.127087,83.550703,0.031518,0.305378
COMCAST A,CMCSA,2022,36.075305,48.688639,59.600226,53.035664,0.096902,0.225131
CME GROUP,CME,2022,85.263015,19.580442,62.494316,46.191663,0.180207,0.252104
CHIPOTLE MEXN.GRILL,CMG,2022,62.753558,34.460095,65.35274,41.66915,0.271941,0.342642
CUMMINS,CMI,2022,98.274165,61.402545,73.738618,70.03385,0.185901,0.31046
CMS ENERGY,CMS,2022,96.081211,44.042621,44.861787,65.688568,0.073864,0.229852
CENTENE,CNC,2022,76.516282,27.02349,48.061291,58.476752,0.197383,0.284364
CENTERPOINT EN.,CNP,2022,95.935888,20.15591,29.912888,83.521931,0.057593,0.245746
CAPITAL ONE FINL.,COF,2022,69.817723,57.301002,74.987432,67.626914,0.038834,0.321537
COOPER COS.,COO,2022,100.0,24.320635,45.818198,66.65542,0.110605,0.270137
CONOCOPHILLIPS,COP,2022,62.666004,69.415487,71.961773,61.779931,0.094038,0.276866
CENCORA,COR,2022,43.312171,38.776923,56.387678,81.323336,0.137298,0.22019
COSTCO WHOLESALE,COST,2022,72.833209,80.57853,50.863426,66.375178,0.1509,0.194416
CAMPBELL SOUP,CPB,2022,87.773554,79.774174,89.017414,69.39723,0.033714,0.178394
COPART,CPRT,2022,100.0,1.892703,50.777633,44.031339,0.251201,0.235031
CAMDEN PROPERTY TST.,CPT,2022,100.0,40.232389,55.767736,63.336151,0.117199,0.227264
CHAS.RVR.LABS.INTL.,CRL,2022,83.32671,45.131053,81.625536,45.832355,0.139256,0.275533
SALESFORCE,CRM,2022,92.524979,68.529071,69.655126,47.567715,0.21875,0.324889
CISCO SYSTEMS,CSCO,2022,53.619884,69.793597,92.292128,87.475678,0.06561,0.258258
COSTAR GP.,CSGP,2022,96.026781,14.12744,45.398259,73.527022,0.189268,0.266091
CSX,CSX,2022,83.597999,68.888405,57.862205,48.437071,0.158504,0.258551
CINTAS,CTAS,2022,86.748089,53.926627,64.543283,72.138337,0.136398,0.225583
CATALENT,CTLT,2022,85.632974,44.132618,61.30291,30.297236,0.075869,0.399182
COTERRA ENERGY,CTRA,2022,68.123698,27.461886,17.387528,53.94597,0.074143,0.332565
COGNIZANT TECH.SLTN.'A',CTSH,2022,63.449028,51.381724,83.103223,57.046525,0.142928,0.27476
CORTEVA,CTVA,2022,58.590417,44.1633,54.091097,69.521619,0.11301,0.263823
CVS HEALTH,CVS,2022,42.781743,87.777383,87.685593,78.530192,0.096704,0.222142
CHEVRON,CVX,2022,32.441941,75.969772,79.189927,81.76044,0.096385,0.227836
CAESARS ENTERTAINMENT,CZR,2022,79.085074,30.114083,53.926027,40.407404,0.198701,0.545189
DOMINION ENERGY,D,2022,81.328471,77.913399,71.131038,80.791569,0.076879,0.165554
DELTA AIR LINES,DAL,2022,40.217001,69.545772,78.345697,54.234347,0.079366,0.444975
DUPONT DE NEMOURS,DD,2022,57.242586,65.284409,60.598547,68.525257,-0.031773,0.300144
DEERE,DE,2022,83.316483,74.386533,73.755421,45.823619,0.149912,0.26573
DISCOVER FINANCIAL SVS.,DFS,2022,77.112171,15.795347,53.410275,73.44072,0.164556,0.32334
DOLLAR GENERAL,DG,2022,79.128633,8.926988,46.695052,60.558018,0.13476,0.240454
QUEST DIAGNOSTICS,DGX,2022,90.891171,57.992337,74.122506,68.873741,0.085578,0.223422
D R HORTON,DHI,2022,98.185364,30.501629,26.281538,73.641993,0.163878,0.373632
DANAHER,DHR,2022,87.39588,49.18741,73.198983,61.82421,0.166937,0.193779
WALT DISNEY,DIS,2022,22.845837,57.728737,84.399188,50.286073,0.08035,0.233632
DIGITAL REALTY TST.,DLR,2022,94.388616,64.613316,54.124502,56.048923,0.14409,0.231772
DOLLAR TREE,DLTR,2022,79.390845,40.954941,55.564672,55.10195,0.141751,0.277668
DOVER,DOV,2022,95.048107,68.152793,43.657177,72.378341,0.099248,0.254308
DOW ORD SHS,DOW,2022,64.062037,84.972678,86.721386,88.089101,0.043152,0.340243
DOMINO'S PIZZA,DPZ,2022,75.81322,17.209882,47.144548,50.499784,0.265971,0.264411
DARDEN RESTAURANTS,DRI,2022,87.227849,47.250759,67.380868,42.886427,0.126739,0.292523
DTE ENERGY,DTE,2022,91.403833,77.780259,56.491249,73.655299,0.096824,0.170309
DUKE ENERGY,DUK,2022,74.935198,72.311245,68.605217,61.991755,0.072633,0.184034
DAVITA,DVA,2022,71.340452,62.437845,58.590318,69.238811,0.109973,0.246764
DEVON ENERGY,DVN,2022,88.078441,45.17916,60.046851,51.898866,0.060375,0.374459
DEXCOM,DXCM,2022,100.0,22.782317,53.698762,20.322487,0.27679,0.485872
ELECTRONIC ARTS,EA,2022,71.487492,32.141264,53.360581,55.67605,0.043801,0.300185
EBAY,EBAY,2022,52.457298,44.848933,59.99401,57.315837,0.090529,0.304768
ECOLAB,ECL,2022,91.913342,67.12324,85.152487,50.886156,0.116984,0.179195
CONSOLIDATED EDISON,ED,2022,88.924451,54.587302,57.732426,75.877872,0.081736,0.154215
EQUIFAX,EFX,2022,56.895635,19.177241,33.736991,53.677642,0.1216,0.257173
EVEREST GROUP,EG,2022,100.0,13.74094,35.925888,72.284511,0.095456,0.196299
EDISON INTL.,EIX,2022,66.698314,65.321124,66.985959,75.023909,0.106538,0.214331
ESTEE LAUDER COS.'A',EL,2022,89.924126,75.192846,68.712338,28.241887,0.118287,0.252421
ELEVANCE HEALTH,ELV,2022,80.958578,73.773804,77.038043,77.314434,0.128396,0.250151
EASTMAN CHEMICAL,EMN,2022,92.420057,74.54813,70.833168,72.56857,0.130014,0.288277
EMERSON ELECTRIC,EMR,2022,99.153056,66.73071,68.714957,52.58876,0.08902,0.219731
ENPHASE ENERGY,ENPH,2022,86.331032,41.825374,61.468286,29.782747,1.006262,0.865068
EOG RES.,EOG,2022,96.109714,41.919574,39.479652,69.07843,0.137434,0.329718
EPAM SYSTEMS,EPAM,2022,100.0,15.179461,66.591691,56.546076,0.225331,0.351497
EQUINIX REIT,EQIX,2022,94.159633,60.761118,65.462554,56.039167,0.219031,0.245293
EQUITY RESD.TST.PROPS. SHBI,EQR,2022,99.11415,54.716733,68.855002,47.742283,0.110118,0.215891
EQT,EQT,2022,87.008774,39.107292,35.843332,56.005733,0.083943,0.34671
EVERSOURCE ENERGY,ES,2022,93.76114,78.099049,66.551776,56.401549,0.087298,0.176872
ESSEX PROPERTY TST.,ESS,2022,100.0,54.129681,47.658356,76.66443,0.096412,0.228213
EATON,ETN,2022,75.639061,88.581196,73.960418,36.666383,0.146827,0.257786
ENTERGY,ETR,2022,89.513838,53.700026,59.914891,61.639189,0.085418,0.183916
ETSY,ETSY,2022,87.271742,58.609865,42.745566,45.147148,0.288852,0.571993
EVERGY,EVRG,2022,100.0,44.218204,33.752487,64.794702,0.006606,0.198894
EDWARDS LIFESCIENCES,EW,2022,65.92486,54.930685,74.817748,47.582331,0.266368,0.275407
EXELON,EXC,2022,80.536248,57.839185,55.529862,71.630202,0.088093,0.203512
EXPEDITORS INTL.OF WASH.,EXPD,2022,95.392812,51.118329,49.853823,60.06967,0.112407,0.241606
