name,ticker,year,controversy,environment,social,governance,annual_return,sd
MASCO,MAS,2022,98.393865,60.926475,62.283027,66.456963,0.102495,0.314568
MCDONALDS,MCD,2022,4.546063,81.239757,78.481263,50.086472,0.15249,0.173325
MICROCHIP TECH.,MCHP,2022,99.833063,56.269889,63.976173,63.715658,0.118387,0.277215
MCKESSON,MCK,2022,57.484566,58.400554,60.403586,70.40268,0.16106,0.224598
MOODY'S,MCO,2022,89.307154,49.823076,57.07078,81.105291,0.148975,0.276885
MONDELEZ INTERNATIONAL CL.A,MDLZ,2022,45.150724,84.404781,81.166031,51.718043,0.090173,0.178418
MEDTRONIC,MDT,2022,47.937804,73.878012,87.200831,49.002331,0.041048,0.196911
METLIFE,MET,2022,64.677857,77.839074,68.672216,39.040969,0.060562,0.291449
META PLATFORMS A,META,2022,5.835148,42.935153,58.492692,44.744051,0.389138,0.296518
MGM RESORTS INTL.,MGM,2022,69.675119,80.461442,48.199224,65.42854,0.055485,0.446931
MOHAWK INDUSTRIES,MHK,2022,93.369008,46.94216,62.131734,57.575355,0.051894,0.333881
MCCORMICK & COMPANY NV.,MKC,2022,99.199625,76.941849,60.376239,63.269606,0.123743,0.16798
MARKETAXESS HOLDINGS,MKTX,2022,100.0,15.986961,64.462476,51.898459,0.178482,0.301761
MARTIN MRTA.MATS.,MLM,2022,100.0,16.106327,33.292262,85.805911,0.139476,0.286793
MARSH & MCLENNAN,MMC,2022,87.894606,35.659957,54.452975,51.872863,0.083997,0.203724
3M,MMM,2022,45.735012,86.281267,94.374006,79.044659,0.057489,0.197087
MONSTER BEVERAGE,MNST,2022,98.013725,13.736262,35.796254,45.525189,0.203691,0.302628
ALTRIA GROUP,MO,2022,50.811891,84.221684,89.090466,74.084874,0.181212,0.203616
MOLINA HEALTHCARE,MOH,2022,100.0,20.750268,30.348789,56.923939,0.236353,0.350971
MOSAIC,MOS,2022,90.960204,48.707864,75.809715,84.062507,0.051971,0.393417
MARATHON PETROLEUM,MPC,2022,71.264774,60.643011,73.710504,67.685859,0.216615,0.384629
MONOLITHIC PWR.SYS.,MPWR,2022,100.0,12.015956,36.015154,45.112102,0.336462,0.329859
MERCK & COMPANY,MRK,2022,54.109703,77.346963,90.594734,55.474731,0.069641,0.210738
MODERNA,MRNA,2022,62.023734,56.826726,63.455008,57.397877,0.366602,0.774211
MARATHON OIL,MRO,2022,92.211071,52.48762,68.79312,87.048055,0.055334,0.379772
MORGAN STANLEY,MS,2022,16.030008,82.618132,73.092982,53.715505,0.04529,0.320559
MSCI,MSCI,2022,96.99681,42.018788,51.708481,54.303053,0.226025,0.278434
MICROSOFT,MSFT,2022,12.424247,77.099347,92.711622,92.322516,0.141183,0.212099
MOTOROLA SOLUTIONS,MSI,2022,75.922928,65.355625,84.587628,81.45709,0.103269,0.273707
M&T BANK,MTB,2022,81.966884,33.158777,50.276547,63.571482,0.057187,0.240529
MATCH GROUP,MTCH,2022,67.082661,10.869927,42.493174,22.211923,-0.146077,0.41287
METTLER TOLEDO INTL.,MTD,2022,100.0,58.631157,52.918242,78.49624,0.183484,0.255494
MICRON TECHNOLOGY,MU,2022,75.231162,54.002503,68.690714,59.891655,0.047921,0.41984
NORWEGIAN CRUISE LINE HDG.,NCLH,2022,90.572163,57.645994,59.03975,36.782182,-0.055496,0.465908
NASDAQ,NDAQ,2022,87.338327,42.71419,69.617454,73.954365,0.120458,0.246044
NORDSON,NDSN,2022,100.0,39.091904,54.946803,44.970874,0.175743,0.255443
NEXTERA ENERGY,NEE,2022,82.656423,74.720878,70.150016,74.200817,0.14959,0.176026
NEWMONT,NEM,2022,87.439603,84.322459,77.083614,96.86791,0.01468,0.334164
NETFLIX,NFLX,2022,40.623711,11.611226,28.367593,26.038025,0.371301,0.492016
NISOURCE,NI,2022,69.006657,55.323949,54.710932,87.524111,0.147216,0.181306
NIKE 'B',NKE,2022,48.174843,79.326829,76.367276,51.466095,0.140827,0.232774
NORTHROP GRUMMAN,NOC,2022,90.236313,74.059078,81.611214,63.383083,0.123652,0.203136
SERVICENOW,NOW,2022,96.054157,20.084665,48.330271,32.87774,0.443688,0.331862
NRG ENERGY,NRG,2022,92.162345,78.068913,59.56283,77.004692,0.073278,0.329245
NORFOLK SOUTHERN,NSC,2022,65.970695,72.65614,54.953513,70.665593,0.146611,0.263845
NETAPP,NTAP,2022,95.67673,41.916436,50.970046,68.33137,0.078038,0.36475
NORTHERN TRUST,NTRS,2022,98.149864,58.220384,76.910738,52.798563,0.053572,0.245032
NUCOR,NUE,2022,98.600771,50.399794,57.544003,49.518593,0.157122,0.32567
NVIDIA,NVDA,2022,67.660613,67.404268,69.431932,84.610244,0.23104,0.488472
NVR,NVR,2022,100.0,3.545802,20.014459,69.508333,0.145083,0.262304
NEWS 'B',NWS,2022,39.411873,48.899442,40.038416,69.198631,0.044424,0.277779
NEWS 'A',NWSA,2022,39.411873,48.899442,40.038416,69.198631,0.03924,0.282598
NXP SEMICONDUCTORS,NXPI,2022,93.81278,65.909093,75.72471,74.020821,0.226814,0.302804
REALTY INCOME,O,2022,100.0,67.569256,57.707119,74.511707,0.119205,0.220088
OLD DOMINION FGT.LINES,ODFL,2022,95.797655,26.750671,38.199046,41.120348,0.260598,0.273297
ONEOK,OKE,2022,99.6662,65.020094,59.843854,57.361848,0.13934,0.314899
OMNICOM GROUP,OMC,2022,99.378306,45.514231,53.667392,73.429967,0.065577,0.215383
ON SEMICONDUCTOR,ON,2022,100.0,57.157503,80.25471,63.103841,0.237945,0.398408
ORACLE,ORCL,2022,57.904837,76.247201,70.860901,26.811546,0.107022,0.242232
O REILLY AUTOMOTIVE,ORLY,2022,98.816885,9.433284,35.512436,58.987594,0.235034,0.237147
OTIS WORLDWIDE,OTIS,2022,100.0,45.040965,59.510094,89.230497,0.084034,0.214489
OCCIDENTAL PTL.,OXY,2022,75.578304,56.41728,78.934966,72.149215,0.044944,0.28732
PALO ALTO NETWORKS,PANW,2022,95.411259,21.789554,53.68378,19.484789,0.398597,0.368953
PARAMOUNT GLOBAL B,PARA,2022,58.559863,47.531749,62.748383,46.98542,0.028213,0.385675
PAYCOM SOFTWARE,PAYC,2022,85.551212,10.995694,58.898167,25.720294,0.257956,0.42368
PAYCHEX,PAYX,2022,99.913444,31.685057,45.513808,43.773834,0.089522,0.219644
PACCAR,PCAR,2022,95.407811,74.050716,47.155341,57.251149,0.154123,0.262693
PG&E,PCG,2022,14.891141,84.959851,87.575444,71.022464,-0.023589,0.29186
HEALTHPEAK PROPERTIES,PEAK,2022,100.0,78.310062,82.214804,76.494658,0.072452,0.256033
PUB.SER.ENTER.GP.,PEG,2022,93.326243,69.52907,55.025975,62.747394,0.095549,0.199033
PEPSICO,PEP,2022,62.060546,77.925074,84.595791,91.946633,0.086017,0.149385
PFIZER,PFE,2022,25.764633,75.455266,81.879085,59.410902,0.026461,0.202691
PRINCIPAL FINL.GP.,PFG,2022,99.881295,78.652188,70.448038,44.556162,0.08361,0.308
PROCTER & GAMBLE,PG,2022,51.285588,77.209227,68.083822,47.856877,0.097887,0.143404
PROGRESSIVE OHIO,PGR,2022,100.0,15.243761,55.193917,60.872562,0.152055,0.208847
PARKER-HANNIFIN,PH,2022,86.226348,64.65487,55.559241,46.710941,0.150368,0.272064
PULTEGROUP,PHM,2022,85.258234,37.525364,43.722199,66.382003,0.11574,0.370774
PACKAGING CORP.OF AM.,PKG,2022,79.699883,65.697313,50.699746,72.450667,0.165423,0.263192
PROLOGIS REIT,PLD,2022,100.0,74.485754,77.86484,70.180759,0.10918,0.283683
PHILIP MORRIS INTL.,PM,2022,40.609395,86.802877,81.601515,72.451666,0.098296,0.202762
PNC FINL.SVS.GP.,PNC,2022,85.381877,64.980117,71.430027,83.501206,0.078876,0.252372
PENTAIR,PNR,2022,98.741606,61.274204,60.645474,36.034098,0.109491,0.279323
PINNACLE WEST CAP.,PNW,2022,100.0,73.062384,62.982103,52.702073,0.068781,0.184414
INSULET,PODD,2022,87.747678,31.036467,48.801648,62.560913,0.187929,0.418378
POOL,POOL,2022,100.0,12.841575,31.849829,76.272019,0.240257,0.243057
PPG INDUSTRIES,PPG,2022,87.37312,80.258395,65.881488,73.398654,0.109057,0.231227
PPL,PPL,2022,87.189805,39.259611,58.201163,68.366453,0.074924,0.184107
PRUDENTIAL FINL.,PRU,2022,87.667453,80.206232,73.102503,56.605743,0.084347,0.305541
PUBLIC STORAGE,PSA,2022,100.0,37.846732,49.523745,45.819507,0.166228,0.204243
PHILLIPS 66,PSX,2022,63.739011,73.067382,63.065046,65.636289,0.12518,0.313229
PTC,PTC,2022,100.0,4.088249,40.314831,54.191998,0.110558,0.351047
QUANTA SERVICES,PWR,2022,99.09049,27.255717,38.507079,67.487731,0.135316,0.311266
PIONEER NTRL.RES.,PXD,2022,99.289392,24.237973,39.613745,73.043731,0.105282,0.369683
PAYPAL HOLDINGS,PYPL,2022,56.277379,52.178814,67.535475,73.621035,0.060482,0.325578
QUALCOMM,QCOM,2022,17.988811,64.481534,77.890008,52.906321,0.135529,0.307257
QORVO,QRVO,2022,100.0,33.137744,49.233153,64.403576,0.092228,0.367017
ROYAL CARIBBEAN GROUP,RCL,2022,89.481921,75.920136,76.043296,75.556036,0.081284,0.42563
REGENCY CENTERS,REG,2022,99.606431,65.787791,78.822015,67.146107,0.081497,0.257494
REGENERON PHARMS.,REGN,2022,92.118717,59.670053,85.511415,28.618413,0.304806,0.354473
REGIONS FINL.NEW,RF,2022,89.122106,56.725356,59.843723,60.676102,0.016885,0.338363
ROBERT HALF,RHI,2022,93.912347,48.085555,63.432531,71.259623,0.072823,0.298858
RAYMOND JAMES FINL.,RJF,2022,82.482723,41.686692,58.564301,54.139726,0.181854,0.284346
RALPH LAUREN CL.A,RL,2022,94.12877,60.851106,56.67007,47.15583,0.097508,0.319488
RESMED,RMD,2022,98.41654,64.184374,77.235801,54.938937,0.172268,0.253493
ROCKWELL AUTOMATION,ROK,2022,99.808751,58.469717,57.923425,33.217826,0.188134,0.283773
ROLLINS,ROL,2022,100.0,2.718261,28.975991,29.699756,0.196441,0.226608
ROPER TECHNOLOGIES,ROP,2022,99.128526,41.348284,45.942972,61.875811,0.17443,0.196873
ROSS STORES,ROST,2022,94.599126,38.236958,50.396286,50.280068,0.175741,0.258878
REPUBLIC SVS.'A',RSG,2022,92.094283,76.376822,54.854944,77.73707,0.144803,0.1779
RTX,RTX,2022,53.72749,70.867898,61.152121,69.731771,0.05945,0.228028
REVVITY,RVTY,2022,91.826914,57.101982,67.986019,60.836561,0.133555,0.25482
SBA COMMS.,SBAC,2022,100.0,39.75854,55.844401,53.572068,0.171498,0.241613
STARBUCKS,SBUX,2022,44.205663,80.236225,69.678854,54.414168,0.174939,0.239946
CHARLES SCHWAB,SCHW,2022,73.537118,22.364066,62.54296,46.223196,0.084524,0.319297
SHERWIN-WILLIAMS,SHW,2022,82.385957,71.985007,60.331278,79.94892,0.195832,0.217812
J M SMUCKER,SJM,2022,95.164669,56.193042,69.688942,61.173986,0.092747,0.199825
SCHLUMBERGER,SLB,2022,81.151383,78.021043,69.845615,75.716071,0.049521,0.329222
SNAP-ON,SNA,2022,100.0,23.054776,49.06024,55.192234,0.130125,0.244415
SYNOPSYS,SNPS,2022,94.330566,41.079303,55.164858,64.374965,0.162727,0.227978
SOUTHERN,SO,2022,77.596158,57.45051,56.502611,78.318324,0.096477,0.150424
SIMON PROPERTY GROUP,SPG,2022,97.681051,59.349306,65.011579,61.475693,0.090132,0.276655
S&P GLOBAL,SPGI,2022,75.475283,74.421586,82.632835,78.590014,0.147451,0.257761
SEMPRA,SRE,2022,71.456787,67.861888,75.042401,66.613942,0.11569,0.183643
STERIS,STE,2022,100.0,45.801848,74.524323,13.104287,0.177493,0.240822
STEEL DYNAMICS,STLD,2022,97.597857,48.17442,33.987428,67.361233,0.150032,0.400822
STATE STREET,STT,2022,80.738327,86.214289,80.80613,85.16972,0.037234,0.301333
SEAGATE TECHNOLOGY HOLDINGS,STX,2022,82.536584,43.860951,65.699897,52.542494,0.16796,0.435161
CONSTELLATION BRANDS 'A',STZ,2022,79.89041,35.282826,46.357224,20.793708,0.158167,0.255184
STANLEY BLACK & DECKER,SWK,2022,73.19078,65.142909,67.741382,41.175481,0.109202,0.258389
SKYWORKS SOLUTIONS,SWKS,2022,100.0,41.552993,51.137169,65.823753,0.172181,0.347256
SYNCHRONY FINANCIAL,SYF,2022,97.494415,17.362272,66.460662,64.301928,0.044714,0.339519
STRYKER,SYK,2022,69.245189,27.238522,59.588729,77.768321,0.132766,0.206342
SYSCO,SYY,2022,78.188683,69.939447,68.977964,65.409707,0.079685,0.201101
AT&T,T,2022,8.858204,76.275084,76.852177,43.785621,0.046344,0.196981
MOLSON COORS BEVERAGE COMPANY B,TAP,2022,64.685782,59.222307,63.89213,60.446802,0.056663,0.247899
TRANSDIGM GROUP,TDG,2022,98.466606,15.992691,28.824102,43.131708,0.330798,0.248467
TELEDYNE TECHS.,TDY,2022,100.0,17.730134,38.748499,57.153609,0.229937,0.230975
BIO-TECHNE,TECH,2022,100.0,18.377734,76.225956,55.031343,0.122202,0.241706
TE CONNECTIVITY,TEL,2022,98.822007,55.276133,72.059137,65.955017,0.102766,0.280277
TERADYNE (XSC),TER,2022,100.0,27.188181,57.02781,56.760479,0.098779,0.391408
TRUIST FINANCIAL,TFC,2022,88.30922,17.672262,57.890882,66.318,0.038475,0.265329
TELEFLEX,TFX,2022,93.29017,31.886446,75.634929,46.499045,0.103864,0.246808
TARGET,TGT,2022,40.214254,90.218269,88.542955,68.617499,0.079659,0.265746
TJX,TJX,2022,84.46151,77.68587,81.051415,37.458846,0.167968,0.199837
THERMO FISHER SCIENTIFIC,TMO,2022,91.520237,65.696209,75.179808,54.426424,0.15395,0.217265
T-MOBILE US,TMUS,2022,46.287883,54.798779,49.337995,33.48952,0.160462,0.428871
TAPESTRY,TPR,2022,99.249315,59.158142,70.543807,43.276197,0.123426,0.360923
TARGA RESOURCES,TRGP,2022,99.440156,47.066565,35.881969,52.845423,-0.009603,0.498133
TRIMBLE,TRMB,2022,100.0,49.384118,62.23309,40.740522,0.127734,0.341302
T ROWE PRICE GROUP,TROW,2022,100.0,50.259447,66.752022,49.661249,0.151003,0.255404
TRAVELERS COS.,TRV,2022,96.295046,37.739137,62.905498,56.781776,0.096331,0.206732
TRACTOR SUPPLY,TSCO,2022,100.0,73.973506,68.763364,73.779645,0.232338,0.286764
TESLA,TSLA,2022,22.928967,61.490336,46.492175,45.046702,0.423272,0.570994
TYSON FOODS 'A',TSN,2022,28.352511,53.162152,61.914082,61.502725,0.111698,0.296222
TRANE TECHNOLOGIES,TT,2022,98.217269,63.306323,81.314469,72.852318,0.075,0.261904
TAKE TWO INTACT.SFTW.,TTWO,2022,100.0,5.323447,48.756448,39.942983,0.214359,0.269752
TEXAS INSTRUMENTS,TXN,2022,95.507346,95.765447,88.793275,60.386677,0.106389,0.251999
TEXTRON,TXT,2022,89.083363,52.988906,61.902371,80.818958,0.073437,0.355201
TYLER TECHNOLOGIES,TYL,2022,96.026781,23.707184,48.208642,59.725363,0.160595,0.247559
UNITED AIRLINES HOLDINGS,UAL,2022,50.383006,52.824924,53.451873,56.053822,0.01366,0.5818
UDR,UDR,2022,93.159483,40.296866,59.907655,59.049337,0.111721,0.224761
UNIVERSAL HEALTH SVS.'B',UHS,2022,92.319948,14.48269,49.849234,30.701056,0.123501,0.304091
ULTA BEAUTY,ULTA,2022,100.0,14.513844,53.310914,56.003197,0.266383,0.33138
UNITEDHEALTH GROUP,UNH,2022,66.292299,61.870587,52.098441,73.894184,0.178078,0.229541
UNION PACIFIC,UNP,2022,73.809369,48.010973,77.568363,74.229111,0.178452,0.216137
UNITED PARCEL SER.'B',UPS,2022,48.53841,68.767214,66.046577,65.819944,0.077849,0.209024
UNITED RENTALS,URI,2022,95.879157,57.696308,67.574755,62.673203,0.222571,0.414233
US BANCORP,USB,2022,70.130409,62.41241,60.731945,44.084187,0.082053,0.236101
VISA 'A',V,2022,42.428902,41.897795,67.624433,50.171534,0.199697,0.197501
V F,VFC,2022,99.011945,65.263411,60.572111,55.169883,0.109546,0.243536
VICI PPTYS,VICI,2022,100.0,31.373836,48.244384,74.972548,0.110481,0.265129
VALERO ENERGY,VLO,2022,66.378948,52.909097,45.539499,79.600533,0.137945,0.375353
VULCAN MATERIALS,VMC,2022,90.504418,55.193067,40.781948,33.798609,0.089201,0.293155
VERISK ANALYTICS CL.A,VRSK,2022,96.009394,59.523973,74.813909,50.555871,0.150175,0.186367
VERISIGN,VRSN,2022,96.772891,14.122664,47.940804,55.996122,0.087705,0.31435
VERTEX PHARMS.,VRTX,2022,96.861674,35.456103,78.703907,30.064665,0.195811,0.404434
VENTAS,VTR,2022,100.0,78.069971,74.391355,72.826398,0.092571,0.290616
VIATRIS,VTRS,2022,31.433571,48.951904,66.853984,54.889021,0.013769,0.330299
VERIZON COMMUNICATIONS,VZ,2022,23.25648,68.35593,72.186105,64.677661,0.044931,0.185312
WABTEC,WAB,2022,83.582442,45.554542,61.77205,40.04563,0.139515,0.284555
WATERS,WAT,2022,100.0,61.592195,60.603309,75.034237,0.111696,0.259795
WALGREENS BOOTS ALLIANCE,WBA,2022,40.528616,66.304207,73.260566,82.845463,0.010473,0.247465
WARNER BROS DISCOVERY SERIES A,WBD,2022,89.650262,15.305729,54.184415,38.889865,0.009661,0.5598
WESTERN DIGITAL,WDC,2022,88.317303,46.694339,50.005137,48.033189,0.089198,0.404837
WEC ENERGY GROUP,WEC,2022,98.21799,63.435521,64.207864,61.478064,0.123784,0.151088
WELLTOWER,WELL,2022,100.0,79.399212,68.464709,53.197448,0.121717,0.24188
WELLS FARGO & CO,WFC,2022,13.284693,78.792363,75.707007,72.14404,0.067445,0.249896
WHIRLPOOL,WHR,2022,59.960915,83.354412,75.948908,42.993759,0.051834,0.335654
WASTE MANAGEMENT,WM,2022,78.869976,78.174996,84.423462,88.000044,0.14024,0.168402
WILLIAMS,WMB,2022,77.490938,62.566843,51.62189,78.03529,0.055273,0.402929
WALMART,WMT,2022,5.70394,78.276265,76.108701,78.739893,0.066929,0.170163
W R BERKLEY,WRB,2022,95.769008,35.882927,44.870006,51.425639,0.14147,0.195102
WESTROCK,WRK,2022,100.0,55.569733,57.21922,67.728674,0.026934,0.299219
WEST PHARM.SVS.,WST,2022,100.0,39.793857,74.870646,89.307839,0.239325,0.273355
WILLIS TOWERS WATSON,WTW,2022,79.013552,25.38977,46.14838,74.167345,0.07478,0.197571
WEYERHAEUSER,WY,2022,87.745243,81.772566,82.986535,73.802079,0.056187,0.290706
WYNN RESORTS,WYNN,2022,75.866674,55.471613,59.707217,49.897959,0.092941,0.443263
XCEL ENERGY,XEL,2022,75.639713,77.924354,69.479213,84.71874,0.079336,0.182697
EXXON MOBIL,XOM,2022,9.224106,84.550492,75.340166,66.822684,0.049478,0.200013
DENTSPLY SIRONA,XRAY,2022,88.438579,34.126471,56.856007,34.42723,0.061692,0.212763
XYLEM,XYL,2022,100.0,72.100567,72.137503,79.494386,0.154483,0.222289
YUM! BRANDS,YUM,2022,54.471926,79.521648,83.526376,56.663763,0.151664,0.215834
ZIMMER BIOMET HDG.,ZBH,2022,89.765004,31.053549,66.319942,52.280012,0.07134,0.250366
ZEBRA TECHNOLOGIES 'A',ZBRA,2022,94.237264,8.388846,48.448082,47.423051,0.278913,0.322585
ZIONS BANCORP.,ZION,2022,98.590997,23.448454,39.761572,55.135534,0.020864,0.348686
ZOETIS A,ZTS,2022,100.0,48.032577,68.141525,53.599291,0.185219,0.205555
