ticker,controversy,environment,social,governance,human_rights,community,workforce,product_responsibility,shareholders,management
BA,20.2782,81.6384,78.8377,68.0712,77.2647,85.1697,83.5284,65.607,77.4432,66.8803
BAC,11.379,84.9436,83.8441,63.9279,67.872,95.2627,87.1329,78.5222,69.6177,56.3087
BALL,96.227,79.2611,77.6957,51.1647,84.0154,72.2451,91.0987,53.4791,29.8044,53.4008
BAX,62.3236,74.7439,84.4716,84.8657,62.2683,86.8376,98.8522,92.0149,89.4285,81.718
BBWI,96.2056,60.7425,61.6328,49.722,45.5874,72.6927,59.1372,62.2367,64.4296,47.9705
BBY,70.1189,75.1753,76.8775,78.2361,74.5862,91.7137,76.8459,62.4817,82.4675,76.7737
BDX,70.3844,73.8144,87.0681,67.1043,80.1464,92.8839,89.7873,86.2901,56.6342,69.7336
BEN,82.0224,47.9323,59.4573,48.0681,0.0,78.7173,60.044,44.7615,66.4894,42.6379
BF.B,100.0,60.7836,54.6416,52.9442,56.6524,79.3023,68.1567,23.8412,33.1551,54.8584
BG,45.9724,83.6675,69.0503,76.6209,77.2097,74.6135,46.0069,76.7577,68.2464,78.0753
BIIB,68.1446,73.9647,77.9657,63.5902,56.3962,91.5316,88.864,82.3565,78.643,54.3891
BIO,93.2723,30.4676,54.327,28.071,46.2398,63.2263,66.9381,45.7682,50.7306,21.3605
BK,56.2629,86.5946,80.3553,52.587,65.1184,95.7974,85.9155,48.775,71.918,39.3803
BKNG,60.2377,35.6399,33.8712,50.8948,23.4667,66.9942,39.7796,17.1396,62.6707,49.3094
BKR,84.8758,86.6133,84.6202,72.9422,85.5497,89.3075,82.305,77.3422,44.2842,79.6451
BLK,72.5276,65.4915,72.4708,63.4043,63.8019,78.3815,87.6198,41.9156,65.0111,63.1917
BMY,68.8539,77.9801,82.2822,70.2281,75.7478,90.4893,91.1065,72.4176,80.6916,62.6949
BR,100.0,48.0003,60.0086,58.1625,50.5604,79.8333,49.4813,61.3554,78.6978,58.5001
BRK.B,52.0976,22.252,23.0698,22.1273,30.1984,37.2689,7.6146,13.1515,16.9706,28.0998
BRO,94.3193,7.8583,35.0334,46.6567,13.4592,48.335,32.1535,38.5469,79.1102,44.5967
BSX,62.7371,54.9749,81.3194,68.7127,60.5514,90.0173,87.5278,87.4976,51.3745,76.538
