annual_return,annual_volatility,weights
0.18670892804174907,0.08773584797268419,0.0025057586233179587
,,0.002520456844277326
,,0.039991489346917874
,,0.03998985339344126
,,0.0025112538561788715
,,0.002511593629587407
,,0.0025248513671656276
,,0.0025099641370848655
,,0.002564799973791072
,,0.002610481029665416
,,0.039984254518925705
,,0.015080520303757887
,,0.039988235048916514
,,0.002512849027929963
,,0.002833931920315905
,,0.0025042479918354855
,,0.0025587954822514527
,,0.002524785692488385
,,0.002528691278570153
,,0.002519129601549179
,,0.00263913821195309
,,0.0025193225242459154
,,0.002514262614755466
,,0.0025067149959513806
,,0.03995743942811072
,,0.0025238306962528287
,,0.0025750662268001685
,,0.03996848364624282
,,0.002509219396269706
,,0.0025041723817567523
,,0.03992929670461675
,,0.0025186635012507484
,,0.0025063682314288
,,0.0025038143966283517
,,0.002517050576749909
,,0.0025029002881701164
,,0.0025341443318100416
,,0.0025566342644552115
,,0.0025093200680883806
,,0.0025072966100836316
,,0.002506628967112721
,,0.002686426346192421
,,0.039970740134903156
,,0.002749708650374565
,,0.002511943374652149
,,0.0025199778376696065
,,0.0025292777228771088
,,0.002510298452752934
,,0.0025249384364980894
,,0.002554482396837017
,,0.00250720351813366
,,0.002509124172721013
,,0.0025050875212844098
,,0.0025070109427686033
,,0.039764866445080545
,,0.0025283577093813078
,,0.002512286193612227
,,0.00251524736760306
,,0.015849876836008088
,,0.002510078532244466
,,0.005474972571999153
,,0.0025110562669485243
,,0.017758984088714545
,,0.039977804208675444
,,0.002506800256872746
,,0.03997184651266677
,,0.0033388593427429334
,,0.0025047153290012423
,,0.03995046753281427
,,0.002559120857114004
,,0.002517231077628917
,,0.03998326340483074
,,0.002508537485063389
,,0.002505018243496285
,,0.0025060734707955906
,,0.039948927838856986
,,0.039925050930936054
,,0.0025078569531677857
,,0.002504897929696991
,,0.002520872228701173
,,0.003919609694674113
,,0.002543455342737213
,,0.0025412858180484527
,,0.0025062077834973953
,,0.0025139149515906686
,,0.039956976636256004
,,0.002506596640532875
,,0.0025035082817151575
,,0.002508867367476583
,,0.039984395342624275
,,0.0398802989263455
,,0.0025096141532369417
,,0.02814929141284069
,,0.0025135296503925124
,,0.0025089181561758433
,,0.002535832035379929
,,0.002535194026193427
,,0.002840058373394249
,,0.002502317427728816
,,0.0027051277261395616
